fecha;instruccion;tipo;robot_id
2026-06-05 08:37:18;Moviendo a posición de agarre;Movimiento;16
2026-06-05 08:37:15;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 08:37:10;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 08:37:09;Robot inicializado;Sistema;16
2026-06-05 08:37:09;Robot actualizando herramienta;Sistema;16
2026-06-05 08:37:08;Robot Calibrando;Sistema;16
2026-06-05 08:37:04;Pinza abierta (manual);Pinza;16
2026-06-05 08:37:02;Pinza cerrada (manual);Pinza;16
2026-06-05 08:37:00;Pinza abierta (manual);Pinza;16
2026-06-05 08:36:25;Cinta Detenida;Cinta;16
2026-06-05 08:34:43;Corriendo cinta después de soltar pieza;Cinta;16
2026-06-05 08:34:43;Subiendo un poco después de soltar pieza en cinta;Movimiento;16
2026-06-05 08:34:41;Abriendo pinza para soltar pieza en cinta;Pinza;16
2026-06-05 08:34:40;Moviendo a posición para soltar pieza en cinta;Movimiento;16
2026-06-05 08:34:39;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 08:34:37;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 08:34:36;Posicionando agarrar pieza;Movimiento;16
2026-06-05 08:34:35;Bajando para agarrar pieza;Movimiento;16
2026-06-05 08:34:33;Ejecutando bajar a pieza;Movimiento;16
2026-06-05 08:34:30;Moviendo a posición de agarre;Movimiento;16
2026-06-05 08:34:28;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 08:34:22;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 08:34:22;Robot inicializado;Sistema;16
2026-06-05 08:34:22;Robot actualizando herramienta;Sistema;16
2026-06-05 08:34:21;Robot Calibrando;Sistema;16
2026-06-05 08:33:51;Pinza abierta (manual);Pinza;16
2026-06-05 08:33:50;Pinza cerrada (manual);Pinza;16
2026-06-05 08:33:48;Pinza abierta (manual);Pinza;16
2026-06-05 08:33:47;Pinza cerrada (manual);Pinza;16
2026-06-05 08:33:46;Pinza abierta (manual);Pinza;16
2026-06-05 08:33:44;Pinza cerrada (manual);Pinza;16
2026-06-05 08:33:42;Pinza abierta (manual);Pinza;16
2026-06-05 08:33:07;Cinta Detenida;Cinta;16
2026-06-05 08:33:02;Corriendo Cinta al 100%;Cinta;16
2026-06-05 08:32:59;Cinta Detenida;Cinta;16
2026-06-05 08:32:55;Corriendo Cinta al 50%;Cinta;16
2026-06-04 19:15:08;Pinza cerrada (manual);Pinza;16
2026-06-04 19:15:06;Pinza abierta (manual);Pinza;16
2026-06-04 18:58:12;Pinza cerrada (manual);Pinza;16
2026-06-04 18:58:09;Pinza abierta (manual);Pinza;16
2026-06-04 18:58:07;Cinta Detenida;Cinta;16
2026-06-04 18:58:01;Corriendo Cinta al 50%;Cinta;16
2026-06-04 18:57:48;Moviendo a posición: x=0.2, y=0.2, z=0.2, roll=0.2, pitch=0.2, yaw=0.2;Movimiento;16
